"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202109120buf","RoetBe00","QB","Ben Roethlisberger","PIT",18,32,188,1,0,2,11,24,83.9,4,5,0,8,0,0,0,0,0,0,1,3,38,35,3,"PIT","BUF",0,0,0,0,0,0,12.02,12.02,12.02,12.02,12.02,12.02,196,9,10,4,5,0,0,0,0,0,58,100,"PIT","BUF",23,16,"False","outdoors","a_turf",73,79,17,-6.5,"BUF",48.5,2021-09-12
"202109120buf","HarrNa00","RB","Najee Harris","PIT",0,0,0,0,0,0,0,0,0,16,45,0,18,3,1,4,0,4,0,0,16,16,0,16,"PIT","BUF",0,0,0,0,0,0,5.9,5.9,5.4,5.4,5.4,5.4,0,0,0,0,23,22,1,3,1,0,58,100,"PIT","BUF",23,16,"False","outdoors","a_turf",73,79,17,-6.5,"BUF",48.5,2021-09-12
"202109120buf","ClayCh01","WR","Chase Claypool","PIT",0,0,0,0,0,0,0,0,0,1,25,0,25,5,3,45,0,22,0,0,1,1,0,1,"PIT","BUF",0,0,0,0,0,0,10,10,8.5,8.5,8.5,8.5,0,0,0,0,22,3,0,61,5,0,39,67,"PIT","BUF",23,16,"False","outdoors","a_turf",73,79,17,-6.5,"BUF",48.5,2021-09-12
"202109120buf","SmitJu00","WR","JuJu Smith-Schuster","PIT",0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,52,0,24,0,0,0,0,0,0,"PIT","BUF",0,0,0,0,0,0,9.2,9.2,7.2,7.2,7.2,7.2,0,0,0,0,0,0,0,50.4,24,0,53,91,"PIT","BUF",23,16,"False","outdoors","a_turf",73,79,17,-6.5,"BUF",48.5,2021-09-12
"202109120buf","JohnDi01","WR","Diontae Johnson","PIT",0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,36,1,14,0,0,0,0,0,0,"PIT","BUF",0,0,0,0,0,0,14.6,14.6,12.1,12.1,12.1,12.1,0,0,0,0,0,0,0,51,29,0,44,76,"PIT","BUF",23,16,"False","outdoors","a_turf",73,79,17,-6.5,"BUF",48.5,2021-09-12
"202109120buf","FreiPa00","TE","Pat Freiermuth","PIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,0,24,0,0,0,0,0,0,"PIT","BUF",0,0,0,0,0,0,3.4,3.4,2.9,2.9,2.9,2.9,0,0,0,0,0,0,0,15,9,0,29,50,"PIT","BUF",23,16,"False","outdoors","a_turf",73,79,17,-6.5,"BUF",48.5,2021-09-12
"202109120buf","WattDe00","FB","Derek Watt","PIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PIT","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,"PIT","BUF",23,16,"False","outdoors","a_turf",73,79,17,-6.5,"BUF",48.5,2021-09-12
"202109120buf","McClRa00","WR","Ray-Ray McCloud","PIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PIT","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,"PIT","BUF",23,16,"False","outdoors","a_turf",73,79,17,-6.5,"BUF",48.5,2021-09-12
"202109120buf","KumeJa00","WR","Jake Kumerow","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BUF","PIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,"PIT","BUF",23,16,"False","outdoors","a_turf",73,79,17,-6.5,"BUF",48.5,2021-09-12
"202109120buf","GillRe00","FB","Reggie Gilliam","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BUF","PIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"PIT","BUF",23,16,"False","outdoors","a_turf",73,79,17,-6.5,"BUF",48.5,2021-09-12
"202109120buf","SweeTo00","TE","Tommy Sweeney","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BUF","PIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"PIT","BUF",23,16,"False","outdoors","a_turf",73,79,17,-6.5,"BUF",48.5,2021-09-12
"202109120buf","AlleJo02","QB","Josh Allen","BUF",30,51,270,1,0,3,16,37,79.7,9,44,0,11,0,0,0,0,0,1,1,8,63,55,8,"BUF","PIT",0,0,0,0,0,0,18.2,18.2,17.2,17.2,17.2,17.2,492,9,1,11,30,14,1,0,0,0,85,100,"PIT","BUF",23,16,"False","outdoors","a_turf",73,79,17,-6.5,"BUF",48.5,2021-09-12
"202109120buf","SingDe00","RB","Devin Singletary","BUF",0,0,0,0,0,0,0,0,0,11,72,0,25,5,3,8,0,5,0,0,11,11,0,11,"BUF","PIT",0,0,0,0,0,0,11,11,9.5,9.5,9.5,9.5,0,0,0,0,54,18,1,5,6,1,64,75,"PIT","BUF",23,16,"False","outdoors","a_turf",73,79,17,-6.5,"BUF",48.5,2021-09-12
